Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters),Land_Sea_Mask,Topographic_Altitude,Solar_Zenith_Angle,Sensor_Zenith_MODIS_Terra,Scattering_Angle_MODIS_Terra,AOD_AllQA_550_MODIS_Terra_Mean,AOD_AllQA_550_MODIS_Terra_STD,AOD_AllQA_550_MODIS_Terra_Pixels,AOD_FilteredQA_550_MODIS_Terra_Mean,AOD_FilteredQA_550_MODIS_Terra_STD,AOD_FilteredQA_550_MODIS_Terra_Pixels,Sensor_Zenith_VIIRS_SNPP,Scattering_Angle_VIIRS_SNPP,AOD_AllQA_550_VIIRS_SNPP_Mean,AOD_AllQA_550_VIIRS_SNPP_STD,AOD_AllQA_550_VIIRS_SNPP_Pixels,AOD_FilteredQA_550_VIIRS_SNPP_Mean,AOD_FilteredQA_550_VIIRS_SNPP_STD,AOD_FilteredQA_550_VIIRS_SNPP_Pixels,Sensor_Zenith_AHI_H08,Scattering_Angle_AHI_H08,AOD_AllQA_550_AHI_H08_Mean,AOD_AllQA_550_AHI_H08_STD,AOD_AllQA_550_AHI_H08_Pixels,AOD_FilteredQA_550_AHI_H08_Mean,AOD_FilteredQA_550_AHI_H08_STD,AOD_FilteredQA_550_AHI_H08_Pixels,Sensor_Zenith_MODIS_Aqua,Scattering_Angle_MODIS_Aqua,AOD_AllQA_550_MODIS_Aqua_Mean,AOD_AllQA_550_MODIS_Aqua_STD,AOD_AllQA_550_MODIS_Aqua_Pixels,AOD_FilteredQA_550_MODIS_Aqua_Mean,AOD_FilteredQA_550_MODIS_Aqua_STD,AOD_FilteredQA_550_MODIS_Aqua_Pixels,Sensor_Zenith_ABI_G16,Scattering_Angle_ABI_G16,AOD_AllQA_550_ABI_G16_Mean,AOD_AllQA_550_ABI_G16_STD,AOD_AllQA_550_ABI_G16_Pixels,AOD_FilteredQA_550_ABI_G16_Mean,AOD_FilteredQA_550_ABI_G16_STD,AOD_FilteredQA_550_ABI_G16_Pixels,Sensor_Zenith_ABI_G17,Scattering_Angle_ABI_G17,AOD_AllQA_550_ABI_G17_Mean,AOD_AllQA_550_ABI_G17_STD,AOD_AllQA_550_ABI_G17_Pixels,AOD_FilteredQA_550_ABI_G17_Mean,AOD_FilteredQA_550_ABI_G17_STD,AOD_FilteredQA_550_ABI_G17_Pixels,Sensor_Zenith_AHI_H09,Scattering_Angle_AHI_H09,AOD_AllQA_550_AHI_H09_Mean,AOD_AllQA_550_AHI_H09_STD,AOD_AllQA_550_AHI_H09_Pixels,AOD_FilteredQA_550_AHI_H09_Mean,AOD_FilteredQA_550_AHI_H09_STD,AOD_FilteredQA_550_AHI_H09_Pixels,Sensor_Zenith_VIIRS_NOAA20,Scattering_Angle_VIIRS_NOAA20,AOD_AllQA_550_VIIRS_NOAA20_Mean,AOD_AllQA_550_VIIRS_NOAA20_STD,AOD_AllQA_550_VIIRS_NOAA20_Pixels,AOD_FilteredQA_550_VIIRS_NOAA20_Mean,AOD_FilteredQA_550_VIIRS_NOAA20_STD,AOD_FilteredQA_550_VIIRS_NOAA20_Pixels,AOD_AllQA_550_LEOGEO_Mean,AOD_AllQA_550_LEOGEO_STD,AOD_AllQA_550_LEOGEO_TotalPixels,AOD_AllQA_550_LEOGEO_SensorWeighting,AOD_AllQA_550_LEOGEO_NumberOfSensors,AOD_FilteredQA_550_LEOGEO_Mean,AOD_FilteredQA_550_LEOGEO_STD,AOD_FilteredQA_550_LEOGEO_TotalPixels,AOD_FilteredQA_550_LEOGEO_SensorWeighting,AOD_FilteredQA_550_LEOGEO_NumberOfSensors,netCDF_lat,netCDF_lon,NGP_lat,NGP_lon
Hampton_Roads,-76.449997,36.783333,10.0,1,4.339036,76.579951171875,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,42.96,124.74000000000001,-9999.0,-9999.0,0,-9999.0,-9999.0,0,76.0,157.63,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,[-9999     0 -9999     0     0     0 -9999     0],0,-9999.0,-9999.0,0,[-9999     0 -9999     0     0     0 -9999     0],0,-80.875,161.125,507,414
Hagerstown,-77.724998,39.708332,200.0,1,245.15,77.776494140625,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,46.15,124.73,-9999.0,-9999.0,0,-9999.0,-9999.0,0,76.04,158.14000000000001,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,[-9999     0 -9999     0     0     0 -9999     0],0,-9999.0,-9999.0,0,[-9999     0 -9999     0     0     0 -9999     0],0,-80.125,160.875,518,409
Hog_Island,-75.675,37.453,15.0,1,1.0,77.358349609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,43.53,124.85000000000001,-9999.0,-9999.0,0,-9999.0,-9999.0,0,76.83,157.69,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,[-9999     0 -9999     0     0     0 -9999     0],0,-9999.0,-9999.0,0,[-9999     0 -9999     0     0     0 -9999     0],0,-80.625,161.375,509,417
Tukurui,-49.683331,-3.716666,100.0,1,51.23,76.86748046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,30.07,125.77,0.013000000000000001,0.041,17,0.016,0.043000000000000003,14,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,0.013000000000000001,0.0,17,[-9999     0 -9999     0     1     0 -9999     0],1,0.016,0.0,14,[-9999     0 -9999     0     1     0 -9999     0],1,89.375,167.875,345,521
Arizona,-110.788002,32.442001,2791.0,1,1166.7145,57.574672851562504,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,20.6,129.84,0.278,0.05,6,0.278,0.058,4,54.160000000000004,120.11,0.165,0.052000000000000005,9,0.163,0.06,7,47.28,158.93,0.358,0.159,12,0.17400000000000002,0.005,2,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,37.99,131.97,0.203,0.155,15,0.221,0.17300000000000001,11,0.251,0.074,42,[-9999     1 -9999     1     1     1 -9999     0],4,0.209,0.045,24,[-9999     1 -9999     1     1     1 -9999     0],4,-81.875,152.625,489,276
Santarem,-54.706,-2.428584,25.0,1,13.567778,72.76951171875,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,24.13,125.17,0.14,0.048,18,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,0.14,0.0,18,[-9999     0 -9999     0     1     0 -9999     0],1,-9999.0,-9999.0,0,[-9999     0 -9999     0     0     0 -9999     0],0,89.625,166.625,350,501
Ussuriysk,132.1635,43.7004,280.0,1,149.43222,113.447392578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,51.31,93.91,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,[-9999     0 -9999     0     0     0 -9999     0],0,-9999.0,-9999.0,0,[-9999     0 -9999     0     0     0 -9999     0],0,-79.125,-146.875,534,1248
Waskesiu,-106.069578,53.914386,569.0,1,527.12665,79.06732421875,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,68.25,122.91,-9999.0,-9999.0,0,-9999.0,-9999.0,0,68.12,161.5,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,62.800000000000004,116.54,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,[-9999     0 -9999     0     0     0 -9999     0],0,-9999.0,-9999.0,0,[-9999     0 -9999     0     0     0 -9999     0],0,-76.625,153.625,575,295
Ariquiums,-63.033332,-9.916667,142.0,1,162.84,62.1011767578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,18.150000000000002,123.21000000000001,0.066,0.011,17,0.068,0.009000000000000001,16,84.29,149.51,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,0.066,0.0,17,[-9999     0 -9999     0     1     0 -9999     0],1,0.068,0.0,16,[-9999     0 -9999     0     1     0 -9999     0],1,87.875,164.375,320,467
JamTown,-63.1798,-9.190911,101.0,1,108.35111,62.3726806640625,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,17.63,123.28,0.079,0.024,8,0.079,0.024,8,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,0.079,0.0,8,[-9999     0 -9999     0     1     0 -9999     0],1,0.079,0.0,8,[-9999     0 -9999     0     1     0 -9999     0],1,87.875,164.375,323,467
